,"(-180.0, -174.0]","(-174.0, -168.0]","(-168.0, -162.0]","(-162.0, -156.0]","(-156.0, -150.0]","(-150.0, -144.0]","(-144.0, -138.0]","(-138.0, -132.0]","(-132.0, -126.0]","(-126.0, -120.0]","(-120.0, -114.0]","(-114.0, -108.0]","(-108.0, -102.0]","(-102.0, -96.0]","(-96.0, -90.0]","(-90.0, -84.0]","(-84.0, -78.0]","(-78.0, -72.0]","(-72.0, -66.0]","(-66.0, -60.0]","(-60.0, -54.0]","(-54.0, -48.0]","(-48.0, -42.0]","(-42.0, -36.0]","(-36.0, -30.0]","(-30.0, -24.0]","(-24.0, -18.0]","(-18.0, -12.0]","(-12.0, -6.0]","(-6.0, 0.0]","(0.0, 6.0]","(6.0, 12.0]","(12.0, 18.0]","(18.0, 24.0]","(24.0, 30.0]","(30.0, 36.0]","(36.0, 42.0]","(42.0, 48.0]","(48.0, 54.0]","(54.0, 60.0]","(60.0, 66.0]","(66.0, 72.0]","(72.0, 78.0]","(78.0, 84.0]","(84.0, 90.0]","(90.0, 96.0]","(96.0, 102.0]","(102.0, 108.0]","(108.0, 114.0]","(114.0, 120.0]","(120.0, 126.0]","(126.0, 132.0]","(132.0, 138.0]","(138.0, 144.0]","(144.0, 150.0]","(150.0, 156.0]","(156.0, 162.0]","(162.0, 168.0]","(168.0, 174.0]","(174.0, 180.0]",unit_id
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0756216315872641,0.0,0.0,0.05995137296017682,0.010940874548483132,0.0,0.055751821880774335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003863677671547851,0.17336314152669888,0.0,0.0,0.0,0.0,0.0,0.037345053190337645,0.0,0.0,0.040740744263980895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015035756220216365,0.0,0.0,0.08981824069072555,0.0,0.0,1
2,0.0,0.0,0.0,0.0003480702652692879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22650080529656688,0.0,0.0,0.4787420478913307,0.0,0.0,0.07295508045598281,0.13905734580161422,0.1182122434603287,0.0,0.0,0.0,0.0,0.0,0.021680145854583607,0.001766174411956495,0.2822102812396416,0.19789207967468195,0.2920855284204739,0.25917137571767973,0.08136060313460629,0.11121897088879897,0.08232546692013884,0.04344810597531422,0.0,0.0010515640384015754,0.06502476910702679,0.018359791645342217,0.37941848509424664,0.0,0.0,0.0,0.0,0.22150261796768445,0.0,0.0,0.0,0.27668356022844476,0.0,0.0,0.0,0.012258902243526814,0.03359810640818084,0.0,0.03406511080921846,0.0,0.0,0.13321875880320794,2
4,0.0,0.0,0.057002252973210946,0.14643147268970905,0.0,0.0,0.0,0.0012785785728660454,0.12204715061410108,0.49011174857273765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020573538295083862,4
5,0.0,0.0,0.0,0.2889049983641139,0.0,0.2598055645706455,0.0,0.27935977507016024,0.0,0.4629051934481274,0.13234084432447296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12339114084049055,0.0,0.48680567245331074,0.46590640329946975,0.0,0.0,0.3942018106168016,0.47244600307237516,0.3309251752467821,0.0638905333198555,0.06895491180197526,0.0834294569891974,0.03660773098150054,0.2319575094966669,0.004548842582368598,0.2391888969595104,0.15006629545133124,0.7300952288475916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006778200172342746,0.0,0.0,0.0,0.013782129231280296,0.48162731294781014,0.0,0.11168992946211911,0.0,0.0,0.0,5
6,0.04062634475479069,0.09955544935476182,0.08651866807107329,7.641077432819544e-09,0.1619293408623567,0.21393523095412187,0.0,0.0,0.20429901809865597,0.00939396231684546,0.0,0.0,0.0,0.0,0.0,0.0,0.016865808585036047,0.0,0.0,0.02153516509948676,0.0,0.0008612252835411407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017326758131068907,0.0,0.050180807496694076,0.0,0.010115363671141093,0.0,0.0,0.0,0.0,0.0,0.0,0.07602937044672686,1.8442437302214823e-07,0.0,0.17522055837521533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
7,0.0,0.06184901408786911,0.06822657198611887,0.04017250380124566,0.0,0.34523269508057824,0.0,0.0,0.2540536549743543,1.2083134453117086,0.23839915770953568,0.11632216526694972,0.0,0.0,0.04189605986084291,0.12901303647742965,0.0,0.0,0.0,0.0,0.0,0.020676609510199704,0.006924491106811105,0.18979749923303965,0.0,0.10494814470821176,1.0294082421552306,0.16244253745781911,0.0,0.4356071429716427,0.4498919622620436,0.17913357529463125,0.24640745249857532,0.11832203141138413,0.07261607101404632,0.049883330522130356,0.010527313947366373,0.0,0.16518929759684328,0.07894572974431043,0.3012634627406469,0.0,0.0,0.0,0.0,0.0,0.11142004954559293,0.0,0.02841577362238078,0.207094877478145,0.11365166068451238,0.060905961641564706,0.0,0.0,0.0,0.0,0.28082611458188717,0.5969160882279166,0.21237696595537067,0.05758368473779182,7
8,0.0,0.0,0.0,0.313638244890976,0.04650480266533077,0.15288473821176374,0.0,0.209695595884983,0.0,0.10779537839201196,0.21062224185937314,0.0,0.27925014500608053,0.0,0.0,0.29317466950825116,0.2452529526771715,0.0,0.0,0.06974114682645768,0.0007854587530410466,0.23358165367867498,0.0,0.5153867916096069,0.0,0.0,1.0042255734731933,0.07113245408665944,0.035653435306036915,0.0071416001169787,0.013395920370200562,0.1661436515956817,0.09446649577481366,0.011674987933541619,0.043535708160236185,0.033187817822421486,0.05725594523115661,0.14993941960155754,0.10391192468942806,0.37995843546065844,0.3762314822552352,0.0,0.0,0.0,0.0,0.10875798249080407,0.10286071218877577,0.0,0.0,0.0,0.0,0.0736440646270161,0.0,0.09092857186101778,0.00921238335057175,0.0,0.2671573830848812,0.10166315124032953,0.14911627561550758,0.2741529308187605,8
9,0.17799506035216195,0.0,0.17387438223577964,0.029800132682601246,0.26604007014938796,0.16380330723805858,0.10230502101796066,0.0,0.0,0.0,0.0,0.040750690228213315,0.0,0.0,0.0,0.4488179852169181,0.0,0.0,0.22745941885175963,0.016089446740175747,0.10574914103352383,0.19122637051732627,0.03944504883646348,0.47221014177079657,0.0,0.0035578856111480304,0.413952182137742,0.0,0.04719901647207223,0.005206116621458572,0.20448868721298213,0.22467220776792204,0.0,0.03942055647546955,0.03429377329050877,0.027220412501778656,0.04968874872463858,0.0,0.04243901878677426,0.0,0.19838173064152798,0.4911689483490834,0.0,0.0,0.0,0.02808143527331679,0.0,0.0,0.035692424759282075,0.16860788017258843,0.13405954446759877,0.05435876132261485,0.0,0.08930502239438766,0.03633043267935891,0.13702117739344213,0.2641617706840607,0.20339291398270548,0.0,0.033625186166630204,9
10,0.8568084137420426,0.5128609152206335,0.15665760635332177,0.0,0.1841736220176132,0.01525908628716162,0.20037375012260075,0.10263098319611816,0.5091903245516344,0.0,0.056107043224200605,0.34642223141957346,0.2961044666922531,0.11880795928064497,0.3306577926116161,0.5851313558044737,0.6267762520495059,0.21707060890425092,0.16287697164026474,0.4116709886804971,0.1398919785010884,0.05423112634551072,0.13948506812876668,0.17909770590548785,0.2790940853649199,0.009422851319428124,0.0,0.14284677945530735,0.07260469945683537,0.25900570147015184,0.07200565595529057,0.0,0.0,0.13174051832476305,0.04081402615128037,0.19887207218000522,0.0,0.1396262560003414,0.3213001051205434,0.31707777582510793,0.04929296540717381,0.01609070608496922,0.1277843935673792,1.2276537593086386e-07,0.0,0.08055216546974577,0.10084628467306274,0.2250011648017014,0.12902568750929191,0.23593260425553728,0.07836365236450858,0.3392139234494666,0.18011857402480339,0.23613385555527155,0.03438322301837644,0.17722432037051652,0.0043043831285044945,0.06521659959410231,0.7440917324136569,0.11842889559042245,10
12,0.4852582974372661,0.0,0.2980912234627366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07122281496014292,0.08811335444056857,0.21345328148540918,0.14554646854771078,0.0,0.13200204816664177,0.00759038957585571,0.08071578804044571,0.2595552022941981,0.08413440708852037,0.5433976856653114,0.0,0.0,0.0,0.0,0.0,0.0,0.06727808850861333,0.0,0.04676365585999159,0.1485492517237498,0.08236072064907293,0.0,0.0,0.0,0.0,0.0,0.007784218742311314,0.0,0.0,0.0,0.0801495093790265,0.0,0.0,0.0,0.05540779200874929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
