Time Stamp (ms),qw,qx,qy,qz
-25,0.453491,0.29834,-0.234924,-0.806335
36,0.421082,0.388489,-0.244751,-0.782227
78,0.324036,0.474304,-0.28009,-0.769104
128,0.16333,0.502991,-0.343506,-0.776062
177,0.131592,0.485352,-0.418457,-0.756287
227,0.123352,0.449707,-0.439819,-0.767517
277,0.0941162,0.469666,-0.418457,-0.771667
328,0.0615234,0.481934,-0.402466,-0.775879
378,0.0482788,0.481995,-0.362671,-0.796143
430,0.0324707,0.490479,-0.307922,-0.814575
480,0.0568848,0.427124,-0.225769,-0.873718
532,0.0688477,0.325439,-0.160461,-0.929321
583,0.110107,0.238892,-0.145386,-0.953735
634,0.11145,0.245728,-0.130798,-0.953979
682,0.119019,0.245422,-0.184387,-0.944275
733,0.103943,0.176208,-0.236328,-0.94989
786,0.0585327,0.0961914,-0.256775,-0.9599
838,0.148193,-0.0939941,0.319702,0.931152
886,0.139771,-0.132568,0.386719,0.901855
938,0.13623,-0.101563,0.399475,0.900879
985,0.184509,-0.0990601,0.354858,0.911194
1037,0.224854,-0.109253,0.297546,0.921387
1088,0.234253,-0.141846,0.343811,0.898193
1140,0.231995,-0.125549,0.335815,0.904236
1191,0.240295,-0.108337,0.338501,0.90332
1240,0.234558,-0.0744629,0.301697,0.921082
1291,0.202393,-0.00415039,0.25116,0.946533
1342,0.231323,-0.0386963,0.311157,0.920959
1391,0.200317,-0.03125,0.323792,0.924133
1442,0.135559,0.00714111,0.328003,0.934875
1493,0.126587,0.00634766,0.381042,0.915833
1545,0.0960083,-0.0101318,0.450989,0.887329
1594,0.0530396,-0.0324097,0.509766,0.858032
1643,0.0513916,-0.118835,0.543579,0.829346
1693,0.059021,-0.0985107,0.457031,0.882019
1744,0.0650635,-0.0872192,0.42688,0.897705
1795,0.0889893,-0.154785,0.504578,0.844727
1847,0.0870361,-0.218323,0.593994,0.769348
1897,0.0789185,-0.19043,0.627197,0.751099
1948,0.115845,-0.219971,0.598022,0.761902
1999,0.176453,-0.230225,0.477966,0.829102
2048,0.255859,-0.207031,0.351013,0.876648
2098,0.305054,-0.151733,0.289734,0.894409
2149,0.328979,-0.0936279,0.2854,0.895325
2202,0.33374,-0.0957642,0.320007,0.88147
2253,0.331238,-0.115723,0.322266,0.879211
2303,0.326843,-0.120117,0.31665,0.882324
2354,0.34906,-0.086853,0.275085,0.891602
2403,0.382507,-0.0800781,0.328796,0.859741
2453,0.38739,-0.0960083,0.369629,0.839111
2506,0.500366,-0.0996704,0.345581,0.787598
2558,0.519836,-0.103271,0.354309,0.770386
2607,0.583008,-0.144348,0.369751,0.708923
2658,0.551575,-0.154846,0.404785,0.712646
2708,0.549622,-0.12085,0.362244,0.743042
2757,0.585815,-0.119141,0.353943,0.719299
2808,0.596497,-0.0982056,0.385559,0.697021
2859,0.598755,-0.0731201,0.406006,0.686523
2912,0.584961,-0.0950317,0.418945,0.687927
2961,0.589966,-0.122009,0.426575,0.674622
3012,0.58197,-0.126892,0.41925,0.685181
3062,0.571289,-0.118103,0.483398,0.652649
3111,0.564026,-0.0993042,0.499817,0.66748
3206,0.544556,-0.0897827,0.499817,0.699036
3245,0.533081,-0.0614014,0.472595,0.699036
3273,0.490784,-0.0352783,0.475098,0.729492
3315,0.494263,-0.0636597,0.503174,0.706055
3365,0.489746,-0.0529175,0.459534,0.739075
3416,0.494019,-0.0328369,0.437134,0.750854
3466,0.500671,-0.0441895,0.422729,0.754089
3515,0.47345,-0.0661621,0.401794,0.781006
3566,0.444397,-0.0661011,0.304565,0.839905
3618,0.385925,-0.0533447,0.298828,0.871155
3670,0.319519,-0.0321045,0.385742,0.864929
3720,0.285034,-0.0245972,0.490234,0.823303
3770,0.326294,-0.0275879,0.532837,0.780273
3821,0.311096,-0.0396118,0.5495,0.774414
3871,0.286072,-0.0774536,0.602844,0.740784
3921,0.299194,-0.059082,0.580566,0.754944
3975,0.232605,-0.0481567,0.573181,0.784241
4024,0.072998,-0.111145,0.675354,0.725403
4077,0.101074,-0.0723267,0.667297,0.734314
4125,0.121277,-0.0293579,0.572693,0.810181
4176,0.191956,-0.0355225,0.504822,0.840881
