,"(-180.0, -174.0]","(-174.0, -168.0]","(-168.0, -162.0]","(-162.0, -156.0]","(-156.0, -150.0]","(-150.0, -144.0]","(-144.0, -138.0]","(-138.0, -132.0]","(-132.0, -126.0]","(-126.0, -120.0]","(-120.0, -114.0]","(-114.0, -108.0]","(-108.0, -102.0]","(-102.0, -96.0]","(-96.0, -90.0]","(-90.0, -84.0]","(-84.0, -78.0]","(-78.0, -72.0]","(-72.0, -66.0]","(-66.0, -60.0]","(-60.0, -54.0]","(-54.0, -48.0]","(-48.0, -42.0]","(-42.0, -36.0]","(-36.0, -30.0]","(-30.0, -24.0]","(-24.0, -18.0]","(-18.0, -12.0]","(-12.0, -6.0]","(-6.0, 0.0]","(0.0, 6.0]","(6.0, 12.0]","(12.0, 18.0]","(18.0, 24.0]","(24.0, 30.0]","(30.0, 36.0]","(36.0, 42.0]","(42.0, 48.0]","(48.0, 54.0]","(54.0, 60.0]","(60.0, 66.0]","(66.0, 72.0]","(72.0, 78.0]","(78.0, 84.0]","(84.0, 90.0]","(90.0, 96.0]","(96.0, 102.0]","(102.0, 108.0]","(108.0, 114.0]","(114.0, 120.0]","(120.0, 126.0]","(126.0, 132.0]","(132.0, 138.0]","(138.0, 144.0]","(144.0, 150.0]","(150.0, 156.0]","(156.0, 162.0]","(162.0, 168.0]","(168.0, 174.0]","(174.0, 180.0]",unit_id
0,0.15935969444480647,0.0069235612426786,0.13381604237595182,0.09008208538760801,0.01680783946547853,0.10530434528678449,0.08002457526498709,0.2797434582621425,0.2856641194225101,0.132940799428693,0.3181985150825489,0.2088841691858051,0.24026548570275058,0.10190801256616829,0.17318072093534256,0.18059038268881675,0.07127805137314927,0.16857995517195087,0.1359955923492333,0.22374132472779923,0.10722985088242999,0.2391377179133988,0.07449864809882688,0.2685507370104811,0.03065639926118724,0.0,0.031287418078016105,0.23611704943783687,0.2185331900374831,0.039936221169424885,0.09310300741649778,0.1087256899229616,0.2306498016855751,0.15793565561633902,0.06936351888473033,0.10737457425223347,0.012244004947196498,0.0599336351428118,0.18297237665992463,0.2089361223819192,0.2702301752273946,0.4741698366184045,0.1078806195144607,0.29114169248456895,0.10223342740029681,0.1253172350360096,0.0780134187391406,0.0786790107802038,0.18384586937270442,0.14969673092368893,0.3078328792258152,0.00518681684611587,0.2581633808138369,0.21585354985116548,0.07667906479702223,0.18301282726676477,0.10054368714035622,0.06736446244141805,0.10428767904131708,0.13228822698022694,0
1,0.08892204658834377,0.31324726882799936,0.00035455471554138735,0.18818757855000143,0.2739121882551688,0.14280680171421278,0.0032121795665551135,0.16366704494773177,0.1174004039994415,0.17283888804574987,0.1136391374119361,0.07358979744903586,0.3438018760141541,0.23393402851789502,0.09408246927044259,0.13177705367772916,0.1343766687038962,0.04946575755974748,0.2153689771653085,0.015582741723412522,0.14437143849802445,0.14311052787854886,0.39826801160083936,0.08107510024828404,0.02911259159618436,0.13592213960208233,0.4242779914289331,0.3015455543147007,0.3237247021793674,0.2670987549844177,0.30722351686623073,0.10075331924201307,0.1055439765075399,0.3348496160502195,0.2736672053124665,0.2493298446183099,0.3211036001031985,0.1046739508459963,0.31775203706112576,0.2652607605957687,0.0,0.09289378526526475,0.12436257947094015,0.208769277007366,0.3918923576822336,0.07930731977840023,0.0,0.0,0.0,0.32696619403980925,0.3183641177635267,0.400917578089453,0.33697527378760067,0.12748457078581296,0.22631726240217698,0.45062301039963726,0.1854599954695102,0.0,0.1185150838735306,0.0,1
2,0.02566156296870244,0.011259764189392838,0.025394155712280694,3.167358304116e-05,0.010891959710946147,0.01689955517249504,0.018635274207513087,0.06329116502153016,0.11312826491227233,0.12314409309472016,0.0,0.012627597186500543,0.06825474553812175,0.17159755461215012,0.13233145563689114,0.10798416069432543,0.055543258836885115,0.02951945315431395,0.0417797261928068,0.0028904589320540006,0.06337862572727265,0.11640406173989386,0.0,0.02563151971239533,0.004854793806873677,0.0,0.0,0.042178619093179874,0.0,0.020110233498129303,0.022187139273983813,0.021269862498144013,0.025434943136431406,0.016891382056773478,0.07591239478832136,0.06138613595733045,0.006017121740391832,0.0,0.12365613330893654,0.04595873847852905,0.11456101159091135,0.10305739728102585,0.01148746158183971,0.09968338719862481,0.0,0.1357569209338418,0.004988769285982993,0.02224780500806775,0.16398485633189502,0.031050055219472197,0.22843664074628825,0.06899219504679542,0.19385763437419135,0.18404322233076517,0.03738576146042722,0.17771021194998632,0.04755421252939893,0.03313667913356463,0.0,0.0,2
3,0.1269297391887115,0.002992371606030459,0.070745883925627,0.050054970520886095,0.10307294186338511,0.0,0.08514078021112018,0.05701927436488287,0.0,0.1286538904098287,0.02250908196002236,0.06938633300386113,0.223438865390215,0.19548120199261138,0.10495612813219765,0.13076336499469385,0.34877882479017175,0.08687344847404871,0.042416974435215624,0.05612531196192987,0.010610696690007028,0.15720485685065572,0.06829807195622538,0.28879547503937353,0.07509900784656252,0.044554435502331714,0.005731817158140682,0.1350252458884296,0.2380018854615901,0.04451593835738034,0.09274832460840354,0.020183200075643903,0.11863024635727289,0.0976324608479897,0.15617140617978403,0.05156229493942226,0.004566374586143472,0.1389375960029229,0.1415791382188753,0.048703128608704745,0.08440933671216246,0.0,0.021814434806039555,0.03615649547765499,0.12436990466504134,0.04468172606044168,0.025319891503180994,0.2156923327908148,0.060695040839545536,0.04796776191564696,0.011475956317771603,0.24036249318599426,0.032039730849935416,0.039553694883381084,0.06897440650662755,0.0466754272456846,0.035400474462586144,0.0098291640659092,0.029554180602853124,0.11536107376398069,3
4,0.16736934341831697,0.044960303367317926,0.0007470283312661205,0.16969906383589592,0.13871534013226072,0.057530616207583644,0.034033196893264075,0.05750953324291839,0.05832961442589406,0.12631241466605214,0.10243589749197032,0.08605527099494847,0.24163215842342078,0.2040862890367369,0.07335062504472595,0.020680504317339282,0.0951652856651267,0.009213801301088783,0.06509564736989172,0.05675531539105655,0.1484653619174812,0.16444790926964753,0.1837458367196555,0.12027743361798401,0.0763342756652996,0.1035158934785355,0.1289117104318342,0.02840780639999098,0.11527336910389507,0.09379994019076211,0.15840222362575615,0.18092477384337566,5.817364592696589e-09,0.0874726449928237,0.021542334312686907,0.17923374347466312,0.09361356918848657,0.12088856412623711,0.03818295869066633,0.04625313770280419,0.036612767773816765,0.013092804998063413,0.2255417599318179,0.23541760934233577,0.23959218294840487,0.03670168944903128,0.010552956829472528,0.05267586911497897,6.045711618746857e-09,0.11619017139524736,0.14602142755251388,0.2295215083230162,0.08270503178296403,0.2814706192229135,0.08327302915795828,0.14223225828015867,0.08149825914049293,0.0,0.010210821166412108,0.10461683597936126,4
5,0.3931652948317758,0.4517028173745613,0.03800310044725408,0.05858935977842763,0.31721638152436255,0.17206475224654497,0.0892388509240872,0.18508689617668947,0.2764813034469145,0.20750025860551594,0.10173248482230411,0.043125032215759605,0.06099608322883951,0.11046564794375707,0.1251996332826728,0.2104646373495399,0.09286654096021496,0.07661809580382294,0.42987118705969984,0.028743207983959105,0.1958013392119096,0.1256483171393964,0.1644423648630079,0.38271498931814407,0.15241446703286926,0.3251107172986295,0.24964832681379379,0.28249139196249784,0.1529173509361998,0.40188361047447846,0.49447826144774315,0.2519275678431817,0.10930342329795331,0.23312943975205258,0.23854171561338305,0.1983059732841151,0.2238809462951039,0.08779669089889908,0.29499490222786195,0.2269736804917711,0.04821160155489841,0.3617778720759574,0.24312394685889344,0.15985389667159253,0.07579365761677173,0.0982256016848643,0.17889816728804198,0.24784192808378533,0.17444451126440297,0.30505230654485965,0.17475799235863257,0.5144117287754035,0.3142842323703602,0.2937221692233576,0.26681480233725186,0.25237216569223025,0.30400956202735996,0.134753778091011,0.3002065207210084,0.3497878242819819,5
6,0.0,0.0,0.09317385615349832,0.028870126331207353,0.04604115838587354,0.017686306618414284,0.014628606864208008,0.035440771156755105,0.04224012196085563,0.031142895846599506,0.0,0.04682074437929444,0.018275014061400228,0.04091014125460188,0.0,0.08523564595512301,0.03651130666928626,0.0,0.0,0.0,0.0887674382315846,0.0,0.018049538794259398,0.024089655038045565,0.0,0.303023357525251,0.17034171383649033,0.010303041911799598,0.006025931539398847,0.03485681387090897,0.011388285192557553,0.1723257511701667,0.0,0.13413221722401172,0.2524789012334498,0.139160793988834,0.26080574230146775,0.13772607897291708,0.24148980196117162,0.0,0.02228609814022649,0.0,0.0003885812609903752,0.0,0.0,0.0,0.0,0.0,0.1794754836858006,0.05255678266565697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1929660273181767,0.14821969715950967,0.0,6
8,0.07849597191022827,0.09231159390398497,0.14822399049962556,0.1624357519199722,0.04779543396326129,0.010087820812000381,0.047698441939641734,0.05926662691550347,0.13546679219325422,0.12857610629090968,0.17147142441890145,0.14377861099155018,0.06822555293883799,0.2049388949368685,0.29649385215760554,0.08633273023962505,0.12614276597815172,0.08279040151298711,0.08088545690081494,0.0327438520017584,0.002048359660545067,0.016966587777534445,0.12984781332418335,0.16687410301910527,0.056463169177044414,0.05757902855761797,0.24495417916863685,0.12672567764179063,0.05402601764941515,0.011181922671422727,0.06542638548945534,0.08074051406647796,0.059479461896652035,0.11390619045954949,0.09525128654565626,0.07820867335315923,0.1463012352820329,0.056792063824612146,0.004840310787236703,0.04872628896589099,0.06247901967258354,0.13456057253749365,0.06853354428284289,0.07603154460276441,0.10133396383231141,0.17966419870559316,0.18983339089984066,0.26072194629520173,0.07451636221590106,0.1082890509456245,0.11322304772824392,0.14780158902890023,0.36825781041161465,0.37668287419929075,0.16560713559636864,0.13526763520712157,0.0516978179401299,0.026209591312448592,0.0,0.0030235542299420918,8
9,0.07826818029840839,0.0021223703593480736,0.044536743981962716,0.07138550304866932,0.054094177281652216,0.05314629563986678,0.05648890979580274,0.0018406909375755915,0.0,0.12647233216037185,0.0,0.06968306744248959,0.0,0.0,0.0,0.02202798595773173,0.11981718961671364,0.02081795458456718,0.07799974770087802,0.05382759381381184,0.0555114077541425,0.0,0.06710507768032027,0.0,0.027239138426642728,0.0436801940274032,0.025834134079579178,0.01033474306803314,0.01706081250403938,0.047478644706961094,0.0,0.08710504464444024,0.066410889739263,0.0,0.0,0.11808178390683775,0.021326333874620212,0.035833019502945596,0.005050398738320215,0.0592133474231156,0.022107852450309797,0.040232913711930295,0.2007125602274377,0.060192506053149096,0.0,0.12602514996949818,0.14817879219386546,0.0788657336557648,0.11942019352521795,0.015893302181230338,0.031460567720260325,0.011128627554463562,0.10761657356692227,0.17773089784506274,0.03416090762621436,0.08613182656014813,0.04961520407793333,0.11059863943023912,0.05206991964298647,0.0,9
10,0.03512341524926035,0.0017785585422406918,0.11946977705333808,0.05199263197932139,0.0617995026989397,0.08175240269221792,0.03811633961245071,0.0603361700049871,0.06005721555305486,0.04887320387932353,0.004730100068789949,0.019126872017460248,0.029214441643119576,0.008571189625877024,0.04523008312152232,0.005119618575309401,0.0332312198169925,0.0061298762697733445,0.02719386324029858,0.020480471018406388,0.0,0.028827130623185843,1.979351977078881e-08,0.010339213576045947,0.042139621246969065,0.0,0.0,0.009207247820299792,0.03451974881928038,0.060941496728899924,0.0286550571072191,0.007444649481443699,0.11139720494551983,0.06448867603714148,0.013066330904394853,0.0,0.12178320745236168,0.06383485416271463,0.11476366586134935,0.024335208329005563,0.05977110939467063,0.03557036039763404,0.06894426265312102,0.06956200314565135,0.024387988687084212,0.06808715817524019,0.1331654958143354,0.022739051521391516,0.040383064950653066,0.08317076845251696,0.07977802125669865,0.2285926640557305,0.03914366250096298,0.08600424684778141,0.0,0.0,0.0,0.0619024416772041,0.015721928001824585,0.03841170473572919,10
