,"(-180.0, -174.0]","(-174.0, -168.0]","(-168.0, -162.0]","(-162.0, -156.0]","(-156.0, -150.0]","(-150.0, -144.0]","(-144.0, -138.0]","(-138.0, -132.0]","(-132.0, -126.0]","(-126.0, -120.0]","(-120.0, -114.0]","(-114.0, -108.0]","(-108.0, -102.0]","(-102.0, -96.0]","(-96.0, -90.0]","(-90.0, -84.0]","(-84.0, -78.0]","(-78.0, -72.0]","(-72.0, -66.0]","(-66.0, -60.0]","(-60.0, -54.0]","(-54.0, -48.0]","(-48.0, -42.0]","(-42.0, -36.0]","(-36.0, -30.0]","(-30.0, -24.0]","(-24.0, -18.0]","(-18.0, -12.0]","(-12.0, -6.0]","(-6.0, 0.0]","(0.0, 6.0]","(6.0, 12.0]","(12.0, 18.0]","(18.0, 24.0]","(24.0, 30.0]","(30.0, 36.0]","(36.0, 42.0]","(42.0, 48.0]","(48.0, 54.0]","(54.0, 60.0]","(60.0, 66.0]","(66.0, 72.0]","(72.0, 78.0]","(78.0, 84.0]","(84.0, 90.0]","(90.0, 96.0]","(96.0, 102.0]","(102.0, 108.0]","(108.0, 114.0]","(114.0, 120.0]","(120.0, 126.0]","(126.0, 132.0]","(132.0, 138.0]","(138.0, 144.0]","(144.0, 150.0]","(150.0, 156.0]","(156.0, 162.0]","(162.0, 168.0]","(168.0, 174.0]","(174.0, 180.0]",unit_id
0,0.046419799525347784,0.007381361960244175,0.011477590687939134,0.02560833107736293,0.013650221424640677,0.021879224192479823,0.009224056888138273,0.03221503621361873,0.02665028480036525,0.0034560670322137162,0.015712235267792373,0.0076116461033437395,0.024450350850228748,0.03364012237651939,0.02232360162285034,0.029392218441294336,0.041470115785198956,0.020118089025161483,0.028462308725314724,0.004901338975541246,0.006415877902431475,0.01572872719253691,0.011363023511731869,0.006897372601064756,0.009419519209339129,0.004762830470618389,0.010534646469527202,0.012027841142742902,0.0018498896189420948,0.009617132909240758,0.002086648951992921,0.001179286622297884,0.0011178837985951259,0.001170065118624935,0.0015295300669028152,0.004409067902929534,0.004850651311715346,0.007499057521207622,0.0049342245808132205,0.006647664531832428,0.00232764125792699,0.010456712148952056,0.0062110279940920336,0.006175392223306242,0.009080659924903445,0.004871641472890406,0.005672965449326074,0.007279006485523275,0.010975441101971461,0.009702310519928339,0.0043819164155839046,0.01594008680147181,0.01986167535082245,0.02685810495423803,0.03381408692139803,0.009295244046772556,0.019001920540303543,0.012588171333130425,0.006511505908236426,0.011101771715591624,0
1,0.03292767290605702,0.032330686979756794,0.04750408452742192,0.03432559884459153,0.024047059649446735,0.02080365311062733,0.03516386610724396,0.041984814359840986,0.03627345607905395,0.04226355935177486,0.025613609872835102,0.027649990710114175,0.03650774639664748,0.026533771616690943,0.015750824808320425,0.022606255007272733,0.024283882089768158,0.021916723147170282,0.04178388022019762,0.022487117142771063,0.028780847797627376,0.0321078623621191,0.04864986058654089,0.06119150746247917,0.028331898631216507,0.03948846615823411,0.03553171205178093,0.02239889363849094,0.044317564959911133,0.05939639396766964,0.045358255314244054,0.023872157023296238,0.045451918178759404,0.0337826488260964,0.04389840531264713,0.016858660682982966,0.03306718865026942,0.03428871511293765,0.04243214388529947,0.05096462477055911,0.021516570546283482,0.031335133278453484,0.05350093360120011,0.024920891264792817,0.02728595389304743,0.022765197539192143,0.03344570309076866,0.048222762334662876,0.024925723484208778,0.02750921241208377,0.03295226306096891,0.027376966126876793,0.029776372825882965,0.04867132309577014,0.0776996625927513,0.029087498538727007,0.02187094373561115,0.02815317150362184,0.04526201842800072,0.027816983754629418,1
2,0.011462782905308888,0.01331884597174819,0.00957880358586499,0.014747513798840995,0.02156663440458909,0.005069511471942629,0.014366193134790633,0.014764921177378812,0.017498816507418108,0.009561196439511704,0.01939618281417233,0.010554864979559233,0.017653410968592482,0.03026907387543299,0.009512673763679667,0.015865939106594285,0.01959923153398144,0.012776931118114527,0.020358155319249747,0.005855169050258983,0.005901636518682506,0.012773766960787813,0.009995622363290687,0.00806722572574521,0.014344060294291909,0.020029690307315093,0.007603574624283941,0.01177115376842818,0.007394348172774634,0.004226046698959255,0.00957574940623354,0.0023581783391225476,0.0010035457093200064,0.004296579646640841,0.0013594976767187094,0.00700165647085135,0.018190751734782042,0.019443873316319287,0.009963997067768373,0.009175418799046325,0.008940586674702686,0.013239373532437202,0.034015331440202516,0.010382741192479731,0.021241144121194794,0.013938903475824571,0.009851268009249202,0.016712137824586148,0.023654059363810976,0.033539129390417796,0.015913016160864893,0.033966562039859156,0.03695682288790708,0.05009821959755726,0.06539573377619268,0.025733893137287772,0.025360342481569372,0.021081083609407934,0.028394494567163975,0.017236565936941665,2
3,0.17501631183382815,0.111404631708568,0.012039445334987287,0.020681586855037234,0.010890594957436458,0.020526734298492527,0.010788076877879022,0.03769968883225469,0.03322705097631613,0.01651096245217023,0.01939758185782874,0.023280891766922027,0.04650861750755066,0.03694578540457027,0.013703883095601737,0.02111760972385583,0.03259861888597555,0.017165152221988802,0.0168114814838078,0.006031268422072173,0.01598903338801964,0.026672703476080164,0.00655093432164693,0.020981022728680857,0.02674729298376663,0.021076375249096335,0.02864869594914468,0.05092964688745724,0.009597540652667618,0.07976516991384958,0.011682034190207552,0.027406893579867583,0.030834359109758444,0.020444688286252996,0.0010509299256935098,0.0008896008059837561,0.012139535294962684,0.00010839601911296053,0.0031027773938732497,0.00797525327364422,0.015942127469029406,0.005001436892886179,0.013697047171371463,0.014990614445110403,0.016848783302137883,0.006708230861420346,0.011856656004972866,0.016067430387730654,0.011927765947182277,0.019027301702578284,0.005839717613864295,0.01045805412022757,0.011802328110359002,0.008417910960639726,0.007170215474985383,0.009191156353851333,0.026911800771065836,0.0282641342885052,0.015141166234017648,0.011759927848277561,3
4,1.5668194666560218e-06,6.292799546551643e-05,0.0013848738851271179,0.002544448149035188,0.0009296489443850376,2.6844817632895776e-06,0.0004244184054834674,0.00017678148587394856,0.0004746092698150795,0.00015179020825496667,3.714258980895389e-06,1.7924074093682993e-06,1.03395829474487e-05,1.0712326381651806e-05,2.245137511892027e-05,3.678741774841202e-07,1.4497174901111344e-05,6.17013578098498e-06,1.3060544681415497e-05,4.386703303652363e-06,6.026336408266958e-05,0.008688171657086697,2.6829042118649704e-08,0.0066676138151285005,0.006794361736969037,0.00855654511333697,1.875239112807605e-05,1.2542740031177947e-05,0.00365273633997255,0.00505095178913326,0.0024359338327353854,0.0004935981202091417,4.042410692797901e-05,0.009803525454604261,1.9913561023175518e-05,0.015023318179661743,0.011416939544298966,0.011487059864624184,0.024978097297914805,0.010980501211346553,0.005984233217869568,0.003920681483458972,0.0009358017350920773,0.00018120142562219434,0.0001816325550969232,7.087775472381932e-06,5.181243747401293e-06,1.4209335998443184e-05,8.07712196805715e-05,2.9590054616395885e-05,5.8006499420376893e-05,9.832510432588741e-05,2.2878093104927427e-05,0.0,1.8108904232875569e-06,4.992188529468654e-07,0.0003949782039129457,1.0117149195147323e-07,0.00023828908455858966,0.00012750449111322676,4
5,0.027777976123324086,0.051749212999127686,0.0526068224274508,0.0525136594390312,0.05206370585551649,0.07151380616836028,0.06230962096757847,0.0805513809410939,0.08550347759959642,0.0866523829206116,0.05488995158582033,0.08786556905407174,0.069102042512687,0.09035364120341849,0.06256678175738149,0.04761089087841328,0.06390868630264675,0.09853436137973676,0.07364592462670326,0.06277028272021623,0.04513506569677774,0.061746386380834545,0.08647441736518298,0.10602104215761853,0.07134244088074461,0.06024141053805811,0.055367986696688694,0.07625167536148011,0.09177047172486612,0.03296937487846283,0.04149509942325043,0.03433769147187232,0.08554257996217979,0.05340377523378888,0.05400255758549835,0.07616200550988682,0.11548570067898514,0.08601119697505408,0.10780903979547063,0.08133600646608315,0.0721281728522903,0.07651518352503177,0.06158973562422279,0.07883597064950874,0.04471891681335053,0.055038810154211554,0.0476454044005995,0.055033248519463396,0.06976417361970302,0.049568227904735015,0.04342733587131468,0.059016763180705256,0.048852849405882005,0.0651773086009815,0.021013603944089566,0.033472593788246005,0.06451653306432455,0.038131808309949375,0.05808837970623536,0.05884890443965949,5
8,0.016924895122573412,0.004207286141847896,0.01690912334276761,0.023354571797962412,0.013961032369333881,0.008914959791861648,0.015959459000665893,0.027190992454108068,0.012336270846707294,0.01553600110381762,0.0074381539856241755,0.002288653544640194,0.007446680902804591,0.021454741956446317,0.005707042811497929,0.035346105571338965,0.08502015284262698,0.0008325364561047654,0.0017046710674846887,0.00021501348085639356,0.00024235566881240664,0.00020186786607422134,0.0006318393667895253,0.0001715606752133737,0.00027409969847616214,0.0004855581620949126,0.00035550691784122865,0.001686103815476451,0.0009139324224351882,0.003172733769771044,0.0037598949215402336,0.0024856726319087146,0.00022685912628982082,0.00027835181690511905,0.0002134529863618629,0.00020944812815858505,0.001419750877336442,0.004264228808982836,0.004138798354875387,0.002325228131338375,0.0018879912634821704,0.0011028372089010136,0.012700862172412014,0.0025846447536595867,0.0037522105143076613,0.0001680797485133714,0.000749710250296473,0.0005425475222522818,0.004557636676056631,0.001164436014489862,0.00414520283739738,0.007060572443124969,0.01231139687625153,0.03676634986247577,0.016649000254825987,0.009200613530965638,0.009851690217291617,0.005582572204007481,0.01655271283597401,0.005987026384662886,8
9,0.03120869185697466,0.03100531537024803,0.04712650056298058,0.027353077069268424,0.05764931333228235,0.07010590031843347,0.0677597545192756,0.04070471801687017,0.038496519309207035,0.034698646697727625,0.023069028279056193,0.017809986458964866,0.02771551466361834,0.05444265454099803,0.026491646157119922,0.036854017845277295,0.036201223011888835,0.04065598074052834,0.0260286452631117,0.011537795385631317,0.01728911830711275,0.02765217721474982,0.029106525546625003,0.04450678992708635,0.044004656624097326,0.05048396128444457,0.023878929110021343,0.06573296949494438,0.03868344940606244,0.023574567661860366,0.02119747283616612,0.023181262501277753,0.014494947667670632,0.01793256933348487,0.009386832568240829,0.0477797535727354,0.06315277269923096,0.046246815534328,0.06064906094840624,0.04955602587566797,0.03586962056739164,0.03290714783176157,0.02684944464221447,0.019817437762291244,0.02423206964829901,0.019082306844996434,0.02397819743896928,0.04497701406788036,0.06770067672295642,0.057304517308002983,0.07322985814963336,0.07589046949300919,0.08699465309809766,0.062032285616212726,0.05511270439303455,0.048499534794355426,0.07235938789644383,0.04063877314036753,0.0386505531456044,0.0411124647119933,9
11,0.01919215207718139,0.009657900189451155,0.02545098082588485,0.005449264300789695,0.03125880587027433,0.019918809719818787,0.0695107049021365,0.012927966097089353,0.008613156909577363,0.006923110007848031,0.007551847339768845,0.008179485629294882,0.004020639781372441,0.023272636726162425,0.01585740808278185,0.010755776207952088,0.007121385684356635,0.005212805199824233,0.012204952669053333,0.01626143958264854,0.007032197818864208,0.012555265365750738,0.006409626860940365,0.027309625263936446,0.02621030330657839,0.019509099104832946,0.026268795811556417,0.03606139151979859,0.040104812451949336,0.02771380414662147,0.01224774720438501,0.011286724974236361,0.009038607987686754,0.006738077931924751,0.061974658332149636,0.029336768340564357,0.030744636523358414,0.01876429621464316,0.02673707698420672,0.019415046000784947,0.012826478478544808,0.02565721746934695,0.024292555536234044,0.03531560838133212,0.01924688678065713,0.029255267582516075,0.023711168132901746,0.019835403093625494,0.04568055985761035,0.02945793738758897,0.0737010183386922,0.07439172556071616,0.0263668345805182,0.009795754624231854,0.04171042772591249,0.026054545864135366,0.007107062580057561,0.011324809410693575,0.02308503388461831,0.01195667637776825,11
12,0.03767174976983951,0.031153189875189023,0.04634597643087544,0.05668610960154805,0.07042842216065211,0.04894881673175687,0.04119969526138179,0.04454697050043824,0.08140780488873324,0.030330689439980945,0.036607438223218415,0.027971362077534145,0.04123725161606652,0.05879382260118592,0.03192657453699714,0.043224460442928186,0.042718697498284386,0.04085661273566585,0.0484502100708491,0.04260728825378329,0.047147390337403686,0.06885849372226288,0.037200082780193204,0.05152872469122199,0.06896025081717867,0.07706887290787012,0.05934416624943446,0.07312218976558017,0.08598421130776362,0.07889050390528686,0.0664824083476416,0.05687903622956175,0.028302159537778957,0.04988943522783702,0.03034333607238834,0.084952745741457,0.10424212980186015,0.11584622819312147,0.09555499393854575,0.07590193769665106,0.069385096070249,0.05960117609375642,0.03753018369576671,0.03315709705720917,0.05119360489380642,0.03748724593886218,0.03426134123108148,0.05314604860290936,0.07198266982769222,0.05036887926394358,0.07742782363890043,0.07172624034803819,0.06010406789329738,0.0744205266444233,0.049649186052145536,0.042446183523425496,0.04462358401928719,0.02910346677700639,0.015907231156206725,0.04522052021936229,12
