Time Stamp (ms),qw,qx,qy,qz
5481,0.152405,0.297058,-0.125671,-0.934204
5530,0.16333,0.276917,-0.106995,-0.940857
5579,0.119446,0.326721,-0.0637817,-0.935364
5629,0.095459,0.543213,-0.105652,-0.827454
5679,0.136841,0.593628,-0.0952759,-0.787231
5731,0.160278,0.566711,-0.0791016,-0.804321
5781,0.139832,0.570068,-0.0442505,-0.808411
5831,0.125305,0.583801,-0.0115967,-0.802063
5883,0.153076,0.562439,0.00994873,-0.8125
5933,0.207764,0.550049,0.00305176,-0.808899
5982,0.211975,0.545166,0.0308228,-0.810486
6033,0.211731,0.541809,0.0571899,-0.811401
6087,0.170959,0.536133,0.083374,-0.822449
6138,0.200684,0.535034,0.0516357,-0.819031
6187,0.231873,0.571472,0.0262451,-0.786743
6237,0.272705,0.579529,0.0230103,-0.767639
6287,0.361084,0.621643,-0.0448608,-0.693665
6338,0.435974,0.645081,-0.0302124,-0.626831
6388,0.469666,0.658752,0.0166626,-0.587524
6441,0.455139,0.647095,0.0640869,-0.608276
6491,0.486816,0.634705,0.024292,-0.59967
6542,0.451538,0.648376,0.0454102,-0.611267
6591,0.420715,0.71106,0.00494385,-0.563293
6642,0.380188,0.698181,-0.0462036,-0.604858
6693,0.356445,0.719666,-0.0335693,-0.59491
6743,0.315796,0.677246,-0.0078125,-0.66449
6794,0.298279,0.675293,-0.015686,-0.674377
6845,0.254639,0.653564,0.0392456,-0.71167
6896,0.200073,0.620605,0.0668335,-0.755249
6948,0.149231,0.61377,0.0525513,-0.773438
6997,0.157959,0.618713,0.0498047,-0.768005
7046,0.18988,0.652161,0.0310669,-0.733276
7095,0.246704,0.687073,-0.00927734,-0.68335
7147,0.26123,0.63739,-0.00732422,-0.724915
7199,0.265503,0.574463,-0.0379028,-0.773376
7249,0.233215,0.521301,-0.00891113,-0.820862
7299,0.245605,0.499451,0.0222168,-0.830505
7350,0.290283,0.509888,0.00256348,-0.809753
7398,0.377808,0.460144,-0.013916,-0.803345
7450,0.433289,0.44165,-0.00915527,-0.785583
7500,0.529724,0.567139,-0.0629272,-0.627502
7553,0.580322,0.704956,-0.076416,-0.400452
7604,0.626709,0.736816,0.0275879,-0.252075
7655,0.685181,0.686279,0.11261,-0.216553
7706,0.695129,0.687256,0.126831,-0.16864
7755,0.66333,0.723999,0.0518799,-0.182129
7806,0.674072,0.702515,-0.0466919,-0.22345
7856,0.706421,0.662537,-0.0549316,-0.24292
7907,0.674805,0.69696,0.0435181,-0.238708
7960,0.656067,0.729065,0.0465698,-0.189453
8010,0.696655,0.691467,0.0203857,-0.189941
8059,0.726929,0.668823,0.0402222,-0.150269
8108,0.738403,0.668579,0.0245972,-0.0846558
8161,0.721008,0.690002,0.0473633,-0.0424194
8210,0.748901,0.662537,-0.00366211,-0.0133667
8262,0.784485,0.619751,0.0107422,-0.020813
8314,0.779053,0.62439,-0.0136108,0.055481
8364,0.775757,0.603271,-0.0914917,0.160828
8414,0.806274,0.580627,-0.0253906,0.109985
8463,0.811951,0.572266,0.0366211,0.108887
8513,0.81781,0.56604,-0.00512695,0.10376
8565,0.822266,0.560669,-0.0378418,0.0900879
8616,0.829102,0.557312,-0.0162964,0.0411377
8666,0.836975,0.546448,-0.00909424,0.0270996
8716,0.870728,0.489014,-0.0517578,0.00219727
8767,0.870911,0.487305,-0.0552979,0.0321655
8816,0.854797,0.514404,-0.0457153,0.0512085
8867,0.835999,0.527161,-0.0296631,0.149292
8918,0.776917,0.499084,-0.012085,0.383667
8970,0.726501,0.404175,0.0288086,0.554932
9021,0.762207,0.319336,0.108765,0.55249
9072,0.757996,0.312927,0.165405,0.547852
9123,0.766663,0.315002,0.0698242,0.555054
9173,0.763611,0.287964,0.0475464,0.575928
9222,0.754944,0.271851,0.0950928,0.589172
9273,0.727112,0.277527,0.104309,0.619202
9326,0.665466,0.258484,0.0780029,0.695862
9375,0.733154,0.227173,0.0429077,0.639587
9426,0.829041,0.203369,-0.0343018,0.519775
9478,0.806091,0.202759,0.0183105,0.555603
9527,0.791016,0.274475,0.0671997,0.542603
9579,0.780884,0.286011,0.0749512,0.550232
9629,0.739685,0.265564,0.112976,0.60791
9682,0.753113,0.273682,0.115417,0.587036
9732,0.837646,0.267151,0.0263672,0.475647
9782,0.801514,0.231384,-0.152771,0.529785
9833,0.838257,0.245544,-0.130554,0.468994
9883,0.845581,0.266724,-0.0639038,0.458008
9932,0.824341,0.295227,-0.09552,0.473511
9983,0.847351,0.252502,-0.209717,0.41748
10035,0.863892,0.239319,-0.240417,0.372314
10085,0.832275,0.321045,-0.108337,0.438721
10135,0.814148,0.264648,-0.0259399,0.516174
10186,0.838806,0.0584106,-0.0521851,0.538757
10236,0.820068,-0.0214844,-0.0828857,0.565796
10286,0.802063,-0.0686035,-0.0588379,0.590332
10336,0.810181,-0.111084,-0.0344238,0.574524
10387,0.811462,-0.106995,-0.0287476,0.573792
10440,0.822815,-0.0836792,-0.052002,0.559692
10490,0.883362,-0.0221558,-0.059082,0.464417
10541,0.922974,0.0761108,-0.106445,0.362
10593,0.896912,0.20105,-0.153931,0.362549
10640,0.856689,0.31134,-0.192566,0.363464
10693,0.838745,0.364868,-0.169434,0.367065
10745,0.827454,0.389343,-0.0917358,0.394104
10793,0.844788,0.381714,-0.0855103,0.365112
10845,0.830933,0.366943,-0.185791,0.374634
10896,0.835571,0.332947,-0.24469,0.362061
10945,0.845276,0.339355,-0.177856,0.372498
10996,0.832764,0.349365,-0.160217,0.39856
11045,0.801331,0.359558,-0.221985,0.423462
11100,0.793335,0.368652,-0.285645,0.391296
11148,0.797852,0.401794,-0.206055,0.399475
11203,0.811646,0.403015,-0.226257,0.357178
11249,0.829468,0.404907,-0.236938,0.30304
11300,0.833313,0.375488,-0.276184,0.297241
11349,0.812134,0.338989,-0.29895,0.368896
11399,0.786011,0.344177,-0.262512,0.441406
11450,0.799377,0.386414,-0.228882,0.399048
11502,0.778137,0.367065,-0.213379,0.462891
11552,0.818054,0.387939,-0.22113,0.362427
11602,0.819397,0.420288,-0.17334,0.349121
11653,0.805664,0.431641,-0.13562,0.382324
11701,0.785217,0.435242,-0.0914307,0.430847
11752,0.78595,0.448181,-0.0556641,0.422302
11803,0.828125,0.434753,-0.0994263,0.339539
11855,0.841919,0.365173,-0.238159,0.317932
11904,0.858643,0.307251,-0.333984,0.238281
11956,0.853149,0.257874,-0.402161,0.209595
12009,0.834106,0.230835,-0.466187,0.183472
12057,0.817322,0.258057,-0.507629,0.0879517
12107,0.809753,0.288208,-0.505066,0.0783081
12158,0.800293,0.30896,-0.513,0.0306396
12211,0.800171,0.308228,-0.512268,-0.0482788
12261,0.78363,0.259338,-0.528381,-0.198547
12311,0.787476,0.197021,-0.530212,-0.244751
12361,0.814392,0.19043,-0.506714,-0.209229
12411,0.818298,0.232483,-0.494629,-0.178101
12461,0.80127,0.273865,-0.502258,-0.175293
12513,0.778625,0.249817,-0.536743,-0.207947
12565,0.762085,0.192261,-0.563843,-0.253601
12615,0.744263,0.175537,-0.57843,-0.284119
12666,0.746887,0.174377,-0.589905,-0.252441
12716,0.779846,0.184143,-0.574951,-0.165466
12766,0.844177,0.206909,-0.494019,0.0222168
12817,0.865662,0.230652,-0.313049,0.315308
12868,0.809143,0.235779,-0.122681,0.524048
12920,0.743591,0.19873,-0.107605,0.629272
12970,0.697021,0.00280762,-0.183777,0.693115
13019,0.631287,-0.215454,-0.224548,0.710388
13071,0.497314,-0.316284,-0.172607,0.789185
13120,0.455017,-0.296326,-0.163757,0.823608
13169,0.421692,-0.278992,-0.208008,0.83728
13221,0.424133,-0.299255,-0.225647,0.824402
13271,0.418457,-0.286133,-0.25647,0.822937
13325,0.39624,-0.252441,-0.230225,0.852173
13374,0.362793,-0.243835,-0.191711,0.878723
13424,0.314941,-0.273987,-0.158203,0.894836
13477,0.314209,-0.251099,-0.264343,0.876526
13524,0.29541,-0.279907,-0.252502,0.877869
13577,0.247742,-0.308167,-0.204712,0.895386
13625,0.218567,-0.319885,-0.18512,0.903137
13678,0.265015,-0.339539,-0.174072,0.885559
13730,0.262756,-0.314697,-0.19519,0.890991
13779,0.223206,-0.29187,-0.22998,0.901184
13829,0.254883,-0.278809,-0.27832,0.883057
13879,0.29071,-0.272217,-0.290588,0.869995
13929,0.256714,-0.263184,-0.295288,0.881836
13979,0.205444,-0.262024,-0.306152,0.891846
14032,0.206665,-0.26709,-0.29364,0.894287
14084,0.233398,-0.299805,-0.22876,0.89624
14134,0.291626,-0.34613,-0.0946045,0.886658
14184,0.286011,-0.371643,-0.0599365,0.881165
14234,0.199219,-0.388611,-0.092041,0.894897
14284,0.164612,-0.445923,-0.0440674,0.878723
14336,0.0216064,-0.514465,-0.0427856,0.856201
14388,-0.0627441,-0.558228,-0.131348,0.816833
14438,-0.0476685,-0.596558,-0.13269,0.7901
14489,-0.0383301,-0.572754,-0.121216,0.809814
14537,-0.0753784,-0.547119,-0.123291,0.824524
14587,-0.0415039,-0.533508,-0.14209,0.832764
14637,-0.0236816,-0.548767,-0.128662,0.825684
14688,-0.0480347,-0.568359,-0.100586,0.815186
14739,-0.0996094,-0.578979,-0.112,0.801453
14789,-0.130371,-0.626465,-0.0878906,0.763428
14840,-0.181763,-0.669128,-0.0844727,0.715637
14892,-0.233154,-0.674377,-0.1073,0.692383
14940,-0.231873,-0.679932,-0.0523071,0.693665
14991,-0.228821,-0.632263,-0.0540771,0.73822
15042,-0.273499,-0.620056,-0.0519409,0.733459
15095,-0.319092,-0.590942,-0.0875854,0.735718
15148,-0.309204,-0.597961,-0.141602,0.725769
15195,-0.201355,-0.593933,-0.187073,0.756104
15247,-0.0663452,-0.466736,-0.250916,0.845459
15298,0.0223389,-0.325928,-0.233948,0.91571
15346,-0.00250244,-0.263489,-0.202698,0.943115
15396,-0.0181274,-0.220337,-0.311157,0.924255
15448,-0.0263062,-0.186462,-0.39978,0.897095
15501,-0.0426636,-0.0795898,-0.483215,0.87085
15552,-0.0931396,-0.0324707,-0.505066,0.857422
15601,-0.0861206,0.00537109,-0.529968,0.843628
15650,-0.0797729,0.0320435,-0.549133,0.831299
15701,-0.0752563,0.0195923,-0.545288,0.834595
15751,0.00640869,0.0234985,-0.536621,0.843445
15803,0.086792,-0.0387573,-0.481995,0.870972
15854,0.141357,-0.0644531,-0.426941,0.890808
15905,0.0301514,0.0185547,-0.492981,0.869324
15956,0.0202637,0.0770264,-0.488281,0.869019
16005,0.0145264,0.114502,-0.515686,0.848999
16055,0.00970459,0.166138,-0.523682,0.83551
16105,-0.0118408,0.202759,-0.520142,0.82959
16156,-0.0280762,0.203186,-0.538086,0.817566
16206,-0.00646973,0.181702,-0.559143,0.808899
16258,0.0211792,0.183777,-0.583313,0.790894
16308,-0.00274658,0.179565,-0.601563,0.778381
16360,-0.0211792,0.205505,-0.596741,0.775391
16408,-0.020813,0.236267,-0.601196,0.763062
16459,-0.0435181,0.241882,-0.588318,0.770386
16510,-0.0621948,0.239441,-0.583496,0.773499
16564,-0.0946655,0.211975,-0.549133,0.802856
16613,-0.115051,0.139893,-0.513245,0.838928
16664,-0.0578003,0.129211,-0.498535,0.855225
16714,0.097168,0.244507,-0.495911,0.827515
16763,0.223022,0.327148,-0.422729,0.815186
16814,0.333557,0.336853,-0.2724,0.83728
16864,0.508972,0.305969,-0.109436,0.797119
16917,0.614258,0.309082,-0.0892944,0.72052
16968,0.604431,0.330566,-0.0446167,0.72345
17019,0.587524,0.328003,-0.0290527,0.739197
17068,0.601868,0.329529,-0.0487671,0.725769
17118,0.629089,0.339539,-0.0774536,0.694946
17169,0.630432,0.349365,-0.0987549,0.686157
17219,0.628418,0.306824,-0.100769,0.707703
17272,0.602356,0.294006,-0.109192,0.734009
17323,0.599121,0.286194,-0.147217,0.733154
17373,0.554016,0.284058,-0.148926,0.76825
17423,0.565918,0.284241,-0.148621,0.759521
17471,0.571106,0.275879,-0.176208,0.752808
17522,0.611328,0.253235,-0.19989,0.722656
17571,0.644226,0.259949,-0.222412,0.684082
17624,0.770752,0.333008,-0.160339,0.518982
17673,0.758301,0.405457,-0.0742188,0.505066
17724,0.753845,0.483215,-0.149719,0.41925
17775,0.739746,0.493958,-0.215027,0.403137
17824,0.73999,0.469604,-0.198608,0.438721
17875,0.766357,0.444641,-0.1073,0.451111
17926,0.780151,0.467224,-0.027832,0.415039
17978,0.785767,0.463867,-0.0429077,0.40686
18029,0.783691,0.417236,-0.0792847,0.453247
18080,0.791992,0.385193,-0.104248,0.462036
18131,0.782898,0.357178,-0.177124,0.477661
18180,0.817627,0.348938,-0.176575,0.422485
18231,0.804382,0.353271,-0.238464,0.41394
18282,0.790894,0.351929,-0.28125,0.414246
18335,0.775513,0.338684,-0.354126,0.398071
18384,0.762268,0.373779,-0.365234,0.381958
18434,0.771973,0.375305,-0.344238,0.380371
18485,0.810181,0.35614,-0.297913,0.357788
18535,0.84967,0.350769,-0.232971,0.317383
18586,0.880615,0.391846,-0.206909,0.167664
18636,0.844116,0.478821,-0.21814,0.102905
18688,0.752258,0.613464,-0.223022,0.0899048
18739,0.605835,0.755981,-0.198669,0.148254
18789,0.516418,0.829285,-0.171753,0.12677
18841,0.525757,0.823975,-0.186707,0.098877
18891,0.620728,0.761169,-0.186768,-0.0223999
18940,0.663208,0.728882,-0.155029,-0.0697021
18990,0.594604,0.803284,-0.0341797,0.00439453
19039,0.499817,0.860291,0.0803223,0.0603638
19091,0.521545,0.849426,0.0709839,0.0374756
19142,0.6297,0.767944,0.110413,0.0391846
19192,0.743103,0.657471,0.113342,0.0513306
19242,0.726624,0.679016,0.0419312,0.0960693
19292,0.699585,0.709351,0.0199585,0.0836182
19342,0.721252,0.690002,-0.0496826,0.0354004
19393,0.692505,0.712219,-0.104553,0.046875
19446,0.690979,0.709595,-0.128845,0.0488281
19497,0.68988,0.722656,-0.034729,0.024231
19548,0.624817,0.774353,-0.0743408,-0.0667725
19599,0.674011,0.720459,-0.0927124,-0.134216
19648,0.653076,0.747559,-0.0449219,-0.112427
19699,0.637573,0.763794,0.085144,-0.0535889
19748,0.662781,0.746155,0.0581055,-0.0247192
19802,0.700623,0.71106,0.0444946,-0.0393066
19852,0.733765,0.645264,0.143616,-0.15686
19901,0.750305,0.630615,0.136475,-0.144104
19953,0.784058,0.598633,0.0552368,-0.154358
20002,0.774231,0.62854,0.0219116,-0.0713501
20053,0.783203,0.617676,0.0114746,-0.0701904
20104,0.795288,0.598328,0.0286865,-0.0928955
20156,0.79126,0.610535,0.03302,-0.00994873
20208,0.791931,0.608032,0.0501099,-0.0258179
20258,0.776123,0.623474,0.076416,0.0551758
20308,0.775757,0.622864,0.0736084,0.0698853
20357,0.773865,0.624878,0.0856323,0.0581055
20407,0.768921,0.628662,0.115723,0.0100708
20457,0.745972,0.63269,0.192444,-0.0785522
20509,0.712769,0.666382,0.172729,-0.134399
20560,0.696655,0.69812,-0.0509644,-0.157288
20610,0.727783,0.634705,-0.196167,-0.170105
20660,0.738281,0.63678,-0.150085,-0.164124
20709,0.739746,0.660095,-0.0952759,-0.0891113
20761,0.743896,0.659363,-0.0980225,-0.0472412
20810,0.769104,0.622925,-0.133484,-0.0515137
20863,0.793701,0.583252,-0.149048,-0.0875244
20912,0.794983,0.578247,-0.140625,-0.117615
20964,0.800903,0.569946,-0.135315,-0.123901
21018,0.812073,0.567444,-0.107483,-0.0836182
21063,0.804565,0.574707,-0.113708,-0.09729
21115,0.769775,0.621582,-0.0973511,-0.107849
21166,0.781555,0.614258,-0.0448608,-0.0993042
21218,0.799011,0.589722,-0.0891113,-0.0769043
21269,0.811035,0.572266,-0.103394,-0.0635376
21319,0.823608,0.555603,-0.108887,-0.032959
21370,0.837402,0.520996,-0.121399,-0.112122
21419,0.844421,0.503967,-0.145264,-0.108948
21470,0.861389,0.477478,-0.165039,-0.0529175
21520,0.872437,0.467224,-0.143005,0.0122681
21573,0.872803,0.463623,-0.152649,-0.00317383
21623,0.871765,0.467712,-0.140991,0.0371704
21673,0.870605,0.463867,-0.145935,0.0742798
21723,0.871399,0.453735,-0.151978,0.108276
21773,0.875061,0.441589,-0.164673,0.110107
21823,0.876526,0.433472,-0.1604,0.134338
21875,0.878723,0.417908,-0.16272,0.16333
21926,0.882141,0.407593,-0.157288,0.175964
21976,0.887085,0.390503,-0.151733,0.193848
22027,0.884949,0.382568,-0.143127,0.223694
22077,0.883728,0.385925,-0.140015,0.224487
22127,0.884399,0.391724,-0.133423,0.215881
22176,0.880981,0.39563,-0.1203,0.229858
22227,0.854919,0.402344,-0.115295,0.306519
22278,0.800232,0.344788,-0.182495,0.455444
22328,0.761292,0.183105,-0.28656,0.552002
22381,0.769714,0.0745239,-0.344421,0.532349
22432,0.716003,0.0800781,-0.38385,0.577576
